arrsize;bsize;nthreads;total;draw;scatter;sort;gather
1000000;10000;1;0.713340;0.017993;0.086069;0.276836;0.079683
1000000;10000;2;0.425454;0.050938;0.052804;0.133708;0.046928
1000000;10000;3;0.302971;0.043963;0.040250;0.085038;0.033840
1000000;10000;4;0.244276;0.043526;0.033021;0.061012;0.027441
1000000;10000;5;0.226610;0.057001;0.028166;0.050150;0.024100
1000000;10000;6;0.204589;0.057436;0.025074;0.040862;0.021607
1000000;10000;7;0.224214;0.086993;0.023664;0.035502;0.022702
1000000;10000;8;0.210136;0.080333;0.023042;0.029194;0.023717
1000000;10000;9;0.188407;0.057152;0.025138;0.026317;0.026473
1000000;10000;10;0.183997;0.057518;0.024238;0.023674;0.025431
1000000;10000;11;0.184582;0.056847;0.026382;0.020927;0.026620
1000000;10000;12;0.181490;0.057884;0.025355;0.018882;0.025267
1000000;10000;13;0.187567;0.046105;0.026422;0.017129;0.025994
1000000;10000;14;0.196966;0.044033;0.026618;0.015462;0.028263
1000000;10000;15;0.190689;0.048527;0.025592;0.014243;0.027485
1000000;10000;16;0.195563;0.044045;0.025234;0.013746;0.028166
1000000;10000;17;0.225532;0.066109;0.024332;0.012815;0.027791
1000000;10000;18;0.222745;0.071079;0.024749;0.012457;0.028096
1000000;10000;19;0.218026;0.067073;0.024570;0.011338;0.028473
1000000;10000;20;0.213002;0.067067;0.023119;0.010598;0.026346
1000000;10000;21;0.218154;0.071483;0.022701;0.010285;0.027987
1000000;10000;22;0.218798;0.068027;0.024273;0.009843;0.028882
1000000;10000;23;0.225080;0.072498;0.031108;0.009684;0.028036
1000000;10000;24;0.247213;0.070339;0.053987;0.008808;0.028885
1000000;10000;25;0.222805;0.069186;0.023231;0.008621;0.027629
1000000;10000;26;0.223980;0.070257;0.024698;0.008173;0.027481
1000000;10000;27;0.229030;0.062135;0.026826;0.008079;0.027311
1000000;10000;28;0.227920;0.068728;0.024875;0.007402;0.026603
1000000;10000;29;0.232958;0.066081;0.029080;0.007336;0.027767
1000000;10000;30;0.234000;0.066084;0.026327;0.007073;0.026338
